Symbol,Date,Open,High,Low,Close,Volume,QualityFlag,SourceURL
KO,2016-07-26,45.53,45.65,44.83,44.88,15818030,,https://api.nasdaq.com/api/quote/KO/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
KO,2016-07-27,43.9,44.06,43.1,43.4,37452670,,https://api.nasdaq.com/api/quote/KO/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
KO,2016-07-28,43.27,43.69,43.22,43.65,13068390,,https://api.nasdaq.com/api/quote/KO/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
KO,2016-07-29,43.72,43.75,43.48,43.63,16529300,,https://api.nasdaq.com/api/quote/KO/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
KO,2016-08-01,43.69,43.83,43.43,43.45,12349420,,https://api.nasdaq.com/api/quote/KO/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
KO,2016-08-02,43.35,43.58,43.31,43.53,12824320,,https://api.nasdaq.com/api/quote/KO/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
KO,2016-08-03,43.66,43.7,43.37,43.64,12119060,,https://api.nasdaq.com/api/quote/KO/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
KO,2016-08-04,43.56,43.795,43.4,43.51,11236060,,https://api.nasdaq.com/api/quote/KO/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
KO,2016-08-05,43.65,43.75,43.41,43.48,10390060,,https://api.nasdaq.com/api/quote/KO/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
KO,2016-08-08,43.43,43.5166,43.22,43.44,8672915,,https://api.nasdaq.com/api/quote/KO/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
KO,2016-08-09,43.5,43.64,43.3762,43.47,7281032,,https://api.nasdaq.com/api/quote/KO/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
KO,2016-08-10,43.64,43.69,43.5,43.61,8381336,,https://api.nasdaq.com/api/quote/KO/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
KO,2016-08-11,43.72,43.87,43.62,43.75,11303260,,https://api.nasdaq.com/api/quote/KO/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
KO,2016-08-12,43.91,44.19,43.79,44.03,10918080,,https://api.nasdaq.com/api/quote/KO/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
KO,2016-08-15,44.1,44.33,44.01,44.24,10390640,,https://api.nasdaq.com/api/quote/KO/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
KO,2016-08-16,44.25,44.25,43.83,43.83,9705816,,https://api.nasdaq.com/api/quote/KO/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
KO,2016-08-17,44.01,44.07,43.78,44.06,11207120,,https://api.nasdaq.com/api/quote/KO/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
KO,2016-08-18,44.01,44.26,44,44.1,9132903,,https://api.nasdaq.com/api/quote/KO/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
KO,2016-08-19,44.05,44.06,43.74,43.92,9385896,,https://api.nasdaq.com/api/quote/KO/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
KO,2016-08-22,43.94,43.945,43.725,43.74,8687414,,https://api.nasdaq.com/api/quote/KO/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
KO,2016-08-23,43.85,43.98,43.74,43.85,8420847,,https://api.nasdaq.com/api/quote/KO/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
KO,2016-08-24,43.82,43.94,43.6641,43.85,11508870,,https://api.nasdaq.com/api/quote/KO/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
KO,2016-08-25,43.85,43.94,43.63,43.67,9815158,,https://api.nasdaq.com/api/quote/KO/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
KO,2016-08-26,43.72,43.92,43.31,43.32,11817540,,https://api.nasdaq.com/api/quote/KO/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
KO,2016-08-29,43.34,43.61,43.33,43.54,9544543,,https://api.nasdaq.com/api/quote/KO/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
KO,2016-08-30,43.46,43.53,43.12,43.24,9710276,,https://api.nasdaq.com/api/quote/KO/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
KO,2016-08-31,43.43,43.46,43.08,43.43,10200280,,https://api.nasdaq.com/api/quote/KO/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
KO,2016-09-01,43.21,43.41,43.2,43.35,8450090,,https://api.nasdaq.com/api/quote/KO/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
KO,2016-09-02,43.52,43.83,43.47,43.66,9025875,,https://api.nasdaq.com/api/quote/KO/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
KO,2016-09-06,43.74,43.8,43.395,43.79,8585062,,https://api.nasdaq.com/api/quote/KO/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
KO,2016-09-07,43.72,43.8,43.53,43.64,8656552,,https://api.nasdaq.com/api/quote/KO/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
KO,2016-09-08,43.67,43.73,43.45,43.63,10020220,,https://api.nasdaq.com/api/quote/KO/historical?assetclass=stocks&fromdate=2016-07-26&todate=2026-07-26&limit=5000
