Symbol,Date,Open,High,Low,Close,Volume,QualityFlag,SourceURL
QQQ,2016-07-26,113.63,114.2,113.22,113.79,21081370,,https://api.nasdaq.com/api/quote/QQQ/historical?assetclass=etf&fromdate=2016-07-26&todate=2026-07-26&limit=5000
QQQ,2016-07-27,114.76,114.88,114.1,114.58,27596840,,https://api.nasdaq.com/api/quote/QQQ/historical?assetclass=etf&fromdate=2016-07-26&todate=2026-07-26&limit=5000
QQQ,2016-07-28,114.76,115.11,114.4,114.98,16841290,,https://api.nasdaq.com/api/quote/QQQ/historical?assetclass=etf&fromdate=2016-07-26&todate=2026-07-26&limit=5000
QQQ,2016-07-29,115.24,115.54,114.87,115.23,22119110,,https://api.nasdaq.com/api/quote/QQQ/historical?assetclass=etf&fromdate=2016-07-26&todate=2026-07-26&limit=5000
QQQ,2016-08-01,115.31,118.7799,115.17,115.84,13947800,,https://api.nasdaq.com/api/quote/QQQ/historical?assetclass=etf&fromdate=2016-07-26&todate=2026-07-26&limit=5000
QQQ,2016-08-02,115.68,115.77,114.22,114.96,21251930,,https://api.nasdaq.com/api/quote/QQQ/historical?assetclass=etf&fromdate=2016-07-26&todate=2026-07-26&limit=5000
QQQ,2016-08-03,114.88,115.35,114.8005,115.34,14990240,,https://api.nasdaq.com/api/quote/QQQ/historical?assetclass=etf&fromdate=2016-07-26&todate=2026-07-26&limit=5000
QQQ,2016-08-04,115.32,115.78,115.03,115.67,12816780,,https://api.nasdaq.com/api/quote/QQQ/historical?assetclass=etf&fromdate=2016-07-26&todate=2026-07-26&limit=5000
QQQ,2016-08-05,116.28,117.04,116.13,116.78,23182600,,https://api.nasdaq.com/api/quote/QQQ/historical?assetclass=etf&fromdate=2016-07-26&todate=2026-07-26&limit=5000
QQQ,2016-08-08,116.82,116.87,116.28,116.65,12345510,,https://api.nasdaq.com/api/quote/QQQ/historical?assetclass=etf&fromdate=2016-07-26&todate=2026-07-26&limit=5000
QQQ,2016-08-09,116.73,117.29,116.67,116.92,13244990,,https://api.nasdaq.com/api/quote/QQQ/historical?assetclass=etf&fromdate=2016-07-26&todate=2026-07-26&limit=5000
QQQ,2016-08-10,116.96,117.02,116.31,116.62,14677300,,https://api.nasdaq.com/api/quote/QQQ/historical?assetclass=etf&fromdate=2016-07-26&todate=2026-07-26&limit=5000
QQQ,2016-08-11,117.01,117.37,116.78,117.12,12952730,,https://api.nasdaq.com/api/quote/QQQ/historical?assetclass=etf&fromdate=2016-07-26&todate=2026-07-26&limit=5000
QQQ,2016-08-12,116.91,117.21,116.79,117.2,19362370,,https://api.nasdaq.com/api/quote/QQQ/historical?assetclass=etf&fromdate=2016-07-26&todate=2026-07-26&limit=5000
QQQ,2016-08-15,117.33,117.97,117.31,117.7,11765700,,https://api.nasdaq.com/api/quote/QQQ/historical?assetclass=etf&fromdate=2016-07-26&todate=2026-07-26&limit=5000
QQQ,2016-08-16,117.47,117.49,117.03,117.05,14139090,,https://api.nasdaq.com/api/quote/QQQ/historical?assetclass=etf&fromdate=2016-07-26&todate=2026-07-26&limit=5000
QQQ,2016-08-17,117.08,117.3,116.43,117.26,15968490,,https://api.nasdaq.com/api/quote/QQQ/historical?assetclass=etf&fromdate=2016-07-26&todate=2026-07-26&limit=5000
QQQ,2016-08-18,117.15,117.46,116.945,117.29,10024100,,https://api.nasdaq.com/api/quote/QQQ/historical?assetclass=etf&fromdate=2016-07-26&todate=2026-07-26&limit=5000
QQQ,2016-08-19,117.1,117.52,116.76,117.26,18719840,,https://api.nasdaq.com/api/quote/QQQ/historical?assetclass=etf&fromdate=2016-07-26&todate=2026-07-26&limit=5000
QQQ,2016-08-22,117.09,117.55,116.87,117.35,14496500,,https://api.nasdaq.com/api/quote/QQQ/historical?assetclass=etf&fromdate=2016-07-26&todate=2026-07-26&limit=5000
QQQ,2016-08-23,117.79,118.0095,117.51,117.56,11960470,,https://api.nasdaq.com/api/quote/QQQ/historical?assetclass=etf&fromdate=2016-07-26&todate=2026-07-26&limit=5000
QQQ,2016-08-24,117.49,117.64,116.41,116.8,17660140,,https://api.nasdaq.com/api/quote/QQQ/historical?assetclass=etf&fromdate=2016-07-26&todate=2026-07-26&limit=5000
QQQ,2016-08-25,116.48,116.97,116.36,116.61,24245320,,https://api.nasdaq.com/api/quote/QQQ/historical?assetclass=etf&fromdate=2016-07-26&todate=2026-07-26&limit=5000
QQQ,2016-08-26,116.66,117.54,116.08,116.78,23889340,,https://api.nasdaq.com/api/quote/QQQ/historical?assetclass=etf&fromdate=2016-07-26&todate=2026-07-26&limit=5000
QQQ,2016-08-29,116.81,117.251,116.79,116.94,11174780,,https://api.nasdaq.com/api/quote/QQQ/historical?assetclass=etf&fromdate=2016-07-26&todate=2026-07-26&limit=5000
QQQ,2016-08-30,116.73,117.09,116.16,116.56,19837040,,https://api.nasdaq.com/api/quote/QQQ/historical?assetclass=etf&fromdate=2016-07-26&todate=2026-07-26&limit=5000
QQQ,2016-08-31,116.38,116.56,115.95,116.44,16068760,,https://api.nasdaq.com/api/quote/QQQ/historical?assetclass=etf&fromdate=2016-07-26&todate=2026-07-26&limit=5000
QQQ,2016-09-01,116.48,116.88,115.91,116.74,20936680,,https://api.nasdaq.com/api/quote/QQQ/historical?assetclass=etf&fromdate=2016-07-26&todate=2026-07-26&limit=5000
QQQ,2016-09-02,117.32,117.56,116.68,117.12,18082250,,https://api.nasdaq.com/api/quote/QQQ/historical?assetclass=etf&fromdate=2016-07-26&todate=2026-07-26&limit=5000
QQQ,2016-09-06,117.29,117.85,117.06,117.85,18502030,,https://api.nasdaq.com/api/quote/QQQ/historical?assetclass=etf&fromdate=2016-07-26&todate=2026-07-26&limit=5000
QQQ,2016-09-07,117.95,118.12,117.47,117.92,17532760,,https://api.nasdaq.com/api/quote/QQQ/historical?assetclass=etf&fromdate=2016-07-26&todate=2026-07-26&limit=5000
QQQ,2016-09-08,117.57,117.6,116.92,117.23,20101830,,https://api.nasdaq.com/api/quote/QQQ/historical?assetclass=etf&fromdate=2016-07-26&todate=2026-07-26&limit=5000
QQQ,2016-09-09,116.23,116.51,114.26,114.28,50496340,,https://api.nasdaq.com/api/quote/QQQ/historical?assetclass=etf&fromdate=2016-07-26&todate=2026-07-26&limit=5000
QQQ,2016-09-12,113.64,116.49,113.63,116.33,39558520,,https://api.nasdaq.com/api/quote/QQQ/historical?assetclass=etf&fromdate=2016-07-26&todate=2026-07-26&limit=5000
QQQ,2016-09-13,115.73,116.09,114.73,115.29,45838390,,https://api.nasdaq.com/api/quote/QQQ/historical?assetclass=etf&fromdate=2016-07-26&todate=2026-07-26&limit=5000
QQQ,2016-09-14,115.43,116.47,115.38,115.84,28147200,,https://api.nasdaq.com/api/quote/QQQ/historical?assetclass=etf&fromdate=2016-07-26&todate=2026-07-26&limit=5000
QQQ,2016-09-15,115.89,117.815,115.86,117.64,38796350,,https://api.nasdaq.com/api/quote/QQQ/historical?assetclass=etf&fromdate=2016-07-26&todate=2026-07-26&limit=5000
QQQ,2016-09-16,117.22,117.412,116.71,117.29,27590030,,https://api.nasdaq.com/api/quote/QQQ/historical?assetclass=etf&fromdate=2016-07-26&todate=2026-07-26&limit=5000
QQQ,2016-09-19,117.57,117.95,116.55,116.78,16211280,,https://api.nasdaq.com/api/quote/QQQ/historical?assetclass=etf&fromdate=2016-07-26&todate=2026-07-26&limit=5000
QQQ,2016-09-20,117.19,117.48,116.8,117,18042080,,https://api.nasdaq.com/api/quote/QQQ/historical?assetclass=etf&fromdate=2016-07-26&todate=2026-07-26&limit=5000
QQQ,2016-09-21,117.48,118.32,116.81,118.15,31487710,,https://api.nasdaq.com/api/quote/QQQ/historical?assetclass=etf&fromdate=2016-07-26&todate=2026-07-26&limit=5000
QQQ,2016-09-22,118.85,119.22,118.7177,119.09,22575270,,https://api.nasdaq.com/api/quote/QQQ/historical?assetclass=etf&fromdate=2016-07-26&todate=2026-07-26&limit=5000
QQQ,2016-09-23,118.92,119,118.16,118.33,22195130,,https://api.nasdaq.com/api/quote/QQQ/historical?assetclass=etf&fromdate=2016-07-26&todate=2026-07-26&limit=5000
QQQ,2016-09-26,117.66,117.8,117.17,117.34,16387330,,https://api.nasdaq.com/api/quote/QQQ/historical?assetclass=etf&fromdate=2016-07-26&todate=2026-07-26&limit=5000
QQQ,2016-09-27,117.31,118.5552,117.15,118.5,18672990,,https://api.nasdaq.com/api/quote/QQQ/historical?assetclass=etf&fromdate=2016-07-26&todate=2026-07-26&limit=5000
QQQ,2016-09-28,118.62,118.77,118.09,118.7,14768690,,https://api.nasdaq.com/api/quote/QQQ/historical?assetclass=etf&fromdate=2016-07-26&todate=2026-07-26&limit=5000
QQQ,2016-09-29,118.51,118.72,117.3338,117.84,27138670,,https://api.nasdaq.com/api/quote/QQQ/historical?assetclass=etf&fromdate=2016-07-26&todate=2026-07-26&limit=5000
QQQ,2016-09-30,118.145,119.07,118.03,118.72,25337630,,https://api.nasdaq.com/api/quote/QQQ/historical?assetclass=etf&fromdate=2016-07-26&todate=2026-07-26&limit=5000
QQQ,2016-10-03,118.53,118.7,118.09,118.55,19189520,,https://api.nasdaq.com/api/quote/QQQ/historical?assetclass=etf&fromdate=2016-07-26&todate=2026-07-26&limit=5000
QQQ,2016-10-04,118.86,119.16,117.92,118.37,21227720,,https://api.nasdaq.com/api/quote/QQQ/historical?assetclass=etf&fromdate=2016-07-26&todate=2026-07-26&limit=5000
QQQ,2016-10-05,118.7,119.17,118.67,118.79,14461890,,https://api.nasdaq.com/api/quote/QQQ/historical?assetclass=etf&fromdate=2016-07-26&todate=2026-07-26&limit=5000
QQQ,2016-10-06,118.63,118.981,118.15,118.73,11926200,,https://api.nasdaq.com/api/quote/QQQ/historical?assetclass=etf&fromdate=2016-07-26&todate=2026-07-26&limit=5000
QQQ,2016-10-07,118.86,119.01,117.89,118.47,19979450,,https://api.nasdaq.com/api/quote/QQQ/historical?assetclass=etf&fromdate=2016-07-26&todate=2026-07-26&limit=5000
