Date,Open,High,Low,Close,Volume,SOURCE: Pocket Portfolio API
02/01/1998,80.63,85.95,80.41,85.59,13929600,
03/01/1998,85.75,90.06,84.22,88.19,14049200,
04/01/1998,88.36,92.11,87.72,90.88,11382000,
05/01/1998,91.09,92.58,87.94,88.84,9576200,
06/01/1998,88.63,91.25,85.94,89.69,10592600,
07/01/1998,90.38,93.63,88.02,88.53,6360600,
08/01/1998,88.63,88.92,74.88,74.88,16557300,
09/01/1998,76.22,81.88,73.88,78.19,15781500,
10/01/1998,77.00,88.00,74.47,86.03,17849200,
11/01/1998,86.78,94.09,86.23,90.81,8231000,
12/01/1998,90.25,93.53,86.52,91.53,11499900,
01/01/1999,92.08,96.63,90.36,93.28,11679600,
02/01/1999,93.98,96.13,90.97,92.89,10019000,
03/01/1999,93.00,100.75,92.00,97.75,11031300,
04/01/1999,98.50,109.56,97.55,107.63,36250100,
05/01/1999,107.94,111.50,104.22,105.14,32323000,
06/01/1999,105.20,110.25,104.06,109.38,14753600,
07/01/1999,109.84,112.63,106.31,106.34,12389700,
08/01/1999,106.38,113.75,105.28,108.25,20725400,
09/01/1999,108.94,111.88,100.75,103.63,22521000,
10/01/1999,102.55,108.00,99.56,107.56,26231800,
11/01/1999,107.50,111.22,105.41,108.69,13421900,
12/01/1999,108.69,115.72,108.66,115.19,11567700,
01/01/2000,116.03,117.50,107.00,109.50,28820600,
02/01/2000,109.56,111.19,98.19,101.56,29949700,
03/01/2000,101.78,112.47,96.84,109.44,46476800,
04/01/2000,109.31,114.53,101.52,107.56,53050400,
05/01/2000,107.97,109.78,102.53,105.31,24687100,
06/01/2000,105.98,108.97,103.34,104.38,18447600,
07/01/2000,104.75,109.09,104.06,105.00,11819200,
08/01/2000,105.53,113.33,105.05,112.47,16905200,
09/01/2000,112.94,114.09,105.53,106.63,17979400,
10/01/2000,106.98,109.92,96.75,109.41,36970200,
11/01/2000,109.16,110.22,102.88,104.41,33243800,
12/01/2000,104.94,109.44,102.78,106.78,33080400,
01/01/2001,107.19,112.50,104.59,108.67,31657100,
02/01/2001,108.72,110.48,103.00,105.00,33091000,
03/01/2001,104.45,108.78,91.00,99.14,108126700,
04/01/2001,98.40,109.12,93.76,107.22,90396900,
05/01/2001,107.45,113.64,106.77,109.08,78474900,
06/01/2001,109.50,112.18,104.01,105.24,52205800,
07/01/2001,104.78,107.00,101.34,105.03,40466300,
08/01/2001,105.78,106.25,98.83,99.88,71889800,
09/01/2001,99.70,102.07,79.50,88.35,125525100,
10/01/2001,87.85,96.10,87.35,90.68,128116800,
11/01/2001,91.15,100.15,90.15,98.59,66777700,
12/01/2001,98.10,101.95,97.21,99.80,48516700,
01/01/2002,100.48,103.14,95.30,99.24,70738400,
02/01/2002,99.11,102.70,95.85,101.10,109986200,
03/01/2002,101.79,106.89,101.24,103.71,141575900,
04/01/2002,103.36,104.13,98.13,99.49,110975400,
05/01/2002,99.64,103.73,97.96,99.25,83517800,
06/01/2002,99.28,100.11,89.05,92.53,107287800,
07/01/2002,92.67,94.19,75.28,87.15,267557500,
08/01/2002,86.86,91.00,80.30,86.52,239389800,
09/01/2002,85.52,87.99,74.60,76.00,215309500,
10/01/2002,76.67,85.89,72.03,83.75,335498600,
11/01/2002,83.50,89.80,83.18,88.90,179416800,
12/01/2002,90.40,90.66,82.48,83.51,126564000,
01/01/2003,84.15,88.88,79.14,80.84,163728500,
02/01/2003,80.97,81.69,76.52,79.31,146244700,
03/01/2003,79.68,85.36,74.31,79.82,225535100,
04/01/2003,80.27,85.70,79.76,84.86,183070700,
05/01/2003,84.75,88.98,83.50,88.84,175458000,
06/01/2003,89.41,93.95,88.80,89.91,174512300,
07/01/2003,89.59,93.77,88.85,92.47,146396300,
08/01/2003,92.49,95.24,90.03,94.41,123257300,
09/01/2003,94.26,96.99,92.42,93.13,120901300,
10/01/2003,93.42,98.83,93.32,98.03,127689300,
11/01/2003,98.45,99.35,95.92,98.08,90807200,
12/01/2003,98.33,104.75,98.33,104.57,137899900,
01/01/2004,105.04,107.23,103.80,105.08,160410500,
02/01/2004,105.20,107.92,104.53,106.07,105475500,
03/01/2004,106.45,107.09,100.12,103.92,174857500,
04/01/2004,103.60,105.95,102.35,102.35,134092400,
05/01/2004,102.67,104.14,98.81,102.18,167520500,
06/01/2004,101.91,105.05,101.46,104.63,105191200,
07/01/2004,104.48,104.65,99.31,101.75,145161600,
08/01/2004,101.28,102.25,98.15,101.89,125173500,
09/01/2004,101.74,103.82,99.91,100.87,121613600,
10/01/2004,101.34,102.88,97.27,100.38,163270800,
11/01/2004,100.49,106.26,100.29,104.33,140004500,
12/01/2004,104.63,108.56,104.16,107.51,140753000,
01/01/2005,108.15,108.59,103.62,104.80,166582800,
02/01/2005,105.02,108.98,104.84,107.70,105174200,
03/01/2005,107.76,109.83,103.86,104.99,133274900,
04/01/2005,105.43,105.62,99.89,101.88,163597400,
05/01/2005,102.24,105.50,100.86,104.63,130991000,
06/01/2005,104.64,106.51,102.44,102.75,134909000,
07/01/2005,103.07,107.16,101.73,106.63,139259400,
08/01/2005,106.72,107.33,103.45,104.89,143622000,
09/01/2005,104.78,107.01,103.44,105.75,159823200,
10/01/2005,105.74,106.01,101.58,103.91,179008400,
11/01/2005,104.25,109.59,103.76,108.22,114409400,
12/01/2005,108.74,109.50,106.82,106.95,120342200,
01/01/2006,107.44,110.46,106.45,108.27,141099600,
02/01/2006,108.50,111.52,107.32,109.90,136550800,
03/01/2006,110.24,113.27,109.27,111.31,146085400,
04/01/2006,111.64,114.10,110.36,113.88,133167100,
05/01/2006,113.95,116.80,110.19,111.73,197953900,
06/01/2006,111.59,112.85,106.95,111.79,191291600,
07/01/2006,111.95,112.56,106.89,111.90,156237900,
08/01/2006,111.50,114.08,110.50,113.81,127169300,
09/01/2006,114.21,117.33,113.23,116.74,139690400,
10/01/2006,116.75,121.55,116.44,120.73,165591800,
11/01/2006,121.06,123.51,119.60,122.28,150001300,
12/01/2006,122.37,125.14,120.90,124.41,130807200,
01/01/2007,125.16,126.49,123.25,126.24,175883200,
02/01/2007,126.46,127.90,120.50,122.66,163657100,
03/01/2007,121.41,125.01,119.50,123.59,234418200,
04/01/2007,123.57,131.98,123.11,130.67,155113800,
05/01/2007,130.84,136.66,130.31,136.29,283098100,
06/01/2007,136.61,136.85,132.37,134.20,343784800,
07/01/2007,134.42,140.46,131.14,132.17,349084000,
08/01/2007,131.89,136.96,125.31,133.40,536168100,
09/01/2007,133.22,139.31,130.24,138.91,216101300,
10/01/2007,138.96,141.95,133.92,138.95,307589300,
11/01/2007,137.86,137.90,127.25,134.16,403533900,
12/01/2007,133.69,137.90,131.06,132.55,218010400,
01/01/2008,132.47,132.67,115.80,126.00,473724100,
02/01/2008,126.49,127.61,120.76,123.01,279035500,
03/01/2008,122.47,126.10,117.46,122.40,348730900,
04/01/2008,123.89,129.98,122.70,128.19,293243700,
05/01/2008,128.00,131.29,124.37,126.13,233421300,
06/01/2008,125.98,126.25,112.75,113.42,380955700,
07/01/2008,112.38,116.88,108.32,113.70,575616800,
08/01/2008,114.12,118.73,112.13,115.45,422061700,
09/01/2008,116.96,118.01,104.01,108.36,698679300,
10/01/2008,107.57,108.79,78.94,93.50,1007168700,
11/01/2008,93.14,96.50,74.50,88.30,777198400,
12/01/2008,86.30,90.39,81.31,87.52,577288500,
01/01/2009,87.95,90.90,79.05,80.08,618804900,
02/01/2009,79.14,83.29,70.37,70.76,650954300,
03/01/2009,69.65,79.30,64.78,75.84,604399800,
04/01/2009,74.88,83.06,74.80,81.67,393548200,
05/01/2009,81.79,85.97,80.96,85.39,320204500,
06/01/2009,86.28,89.02,82.57,84.66,325483400,
07/01/2009,84.98,92.48,80.96,91.67,274478600,
08/01/2009,92.47,96.82,91.40,95.05,237236400,
09/01/2009,94.60,99.16,92.63,97.09,234513300,
10/01/2009,96.92,101.20,94.20,97.06,269299100,
11/01/2009,97.40,104.98,96.82,103.58,224123900,
12/01/2009,104.28,105.64,101.75,104.07,169229700,
